"7","Отделение №100/111","здание билетных касс ж/д вокзала","+375 16 226-23-61","Брест","г. Брест, пл. Привокзальная, 1/1","23.681037","52.100623"
"8","Отделение №100/114","","+375 16 224-02-95","Брест","г. Брест, ул. Писателя Смирнова","23.6427","52.1069"
"9","Отделение №100/116","пункт пропуска 'Козловичи' (Кукурыки)","+375 16 252-55-29","Брест","г. Брест, ул. Клейниковская, 121","23.5745","52.122"
"10","Отделение №100/118","","+375 16 222-04-56","Брест","г. Брест, пр. Машерова, 80-164А","23.705183","52.088683"
"12","Отделение №100/155","","+375 16 252-51-29","Брест","г. Брест, ул. Гоголя, 2В","23.6738","52.088667"
"14","Отделение №100/128","","+375 16 245-65-08","Брест","г. Брест, ул. Красногвардейская, 95","23.68945","52.1173"
"16","Отделение №100/212","","+375 16 225-19-59","Брест","г. Брест, пр. Партизанский, 8-49","23.761917","52.101733"
"17","Отделение №100/211","","+375 16 295-31-24","Новые Лыщицы","д. Новые Лыщицы, ул. Юбилейная, 6А","23.5019","52.25997"
"18","Отделение №100/187","","+375 16 294-92-72","Большие Мотыкалы","агрогородок Большие Мотыкалы, ул. Центральная, 25","23.584283","52.196283"
"19","Отделение №100/188","","+375 16 294-54-54","Чернавчицы","агрогородок Чернавчицы, ул. Сикорского, 35","23.740462","52.212207"
"20","Отделение №100/189","","+375 16 294-31-73","Черни","агрогородок Черни, ул. Пионерская, 16","23.754183","52.1508"
"22","Отделение №100/191","","+375 16 296-12-93","Домачево","г.п. Домачево, ул. Октябрьская, 63В","23.596983","51.748983"
"23","Отделение №100/192","","+375 16 255-96-34","Томашовка","агрогородок Томашовка, ул. Гагарина, 17","23.602483","51.557317"
"27","Отделение №100/196","","+375 16 236-46-08","Брест","г. Брест, ул. Свято-Афанасьевская, 85","23.704645","52.04975"
"28","Отделение №100/197","","+375 16 293-41-17","Клейники","агрогородок Клейники, ул. 60 лет Октября, 2","23.6097","52.140267"
"29","Отделение №100/198","","+375 16 229-24-88","Остромечево","агрогородок Остромечево, пл. Октябрьская, 2","23.587733","52.265817"
"30","Отделение №100/199","","+375 16 254-96-43","Тельмы-1","д. Тельмы-1, ул. Депутатская, 2","23.828255","52.115436"
"32","Отделение №100/201","","+375 16 294-72-41","Мухавец","агрогородок Мухавец, ул. 60 лет Октября, 21","23.799942","52.02911"
"33","Отделение №100/202","пункт пропуска 'Брест'","+375 16 259-24-44","Брест","г. Брест, улица Ковельская, 3-3","23.670147","52.074216"
"34","Отделение №100/203","Транспортно-логистический центр 'Брест-Белтаможсервис-2' (2, 0 км юго-западнее а.г.Клейники)","+375 16 227-43-64","Клейниковский с/с"," Клейниковский с/с, ул. 2.0 км юго-западнее а.г. Клейники, 10","23.583996","52.128165"
"35","Отделение №100/204","расположено во 2 корпусе  Брестского госуд. технического университета.","+375 16 234-01-83","Брест","г. Брест, ул. Московская, 267","23.760783","52.094767"
"36","Отделение №100/205","расположено на ж/д вокзале (в зале ожидания)","+375 16 226-20-18","Брест","г. Брест, пл. Привокзальная, 1","23.681","52.0998"
"37","Отделение №100/206","","+375 16 294-14-83","Берестье","п. Берестье","23.7257","51.829683"
